title,runtime_minutes,genres,averagerating,domestic_gross,foreign_gross,year,global_sales
Limitless,3.0,"Biography,Documentary",6.7,79200000.0,82600000.0,2011,161800000.0
Limitless,57.0,Documentary,3.9,79200000.0,82600000.0,2011,161800000.0
Legend of the Guardians: The Owls of Ga'Hoole,97.0,"Action,Adventure,Animation",7.0,55700000.0,84400000.0,2010,140100000.0
Resident Evil: Afterlife,96.0,"Action,Adventure,Horror",5.9,60100000.0,240100000.0,2010,300200000.0
Henry's Crime,108.0,"Comedy,Crime,Drama",6.0,103000.0,102000.0,2011,205000.0
Chimpanzee,78.0,Documentary,7.2,29000000.0,5900000.0,2012,34900000.0
Zookeeper,102.0,"Comedy,Family,Romance",5.2,80400000.0,89500000.0,2011,169900000.0
African Cats,89.0,"Adventure,Documentary",7.6,15400000.0,15400000.0,2011,30800000.0
Get Him to the Greek,109.0,"Adventure,Comedy,Music",6.4,61000000.0,30300000.0,2010,91300000.0
Edge of Darkness,117.0,"Crime,Drama,Mystery",6.6,43300000.0,37800000.0,2010,81100000.0
The Debt,113.0,"Drama,Thriller",6.9,31200000.0,14500000.0,2011,45700000.0
The Debt,99.0,"Drama,Mystery,Thriller",6.1,31200000.0,14500000.0,2011,45700000.0
Iron Man 2,124.0,"Action,Adventure,Sci-Fi",7.0,312400000.0,311500000.0,2010,623900000.0
Let Me In,116.0,"Drama,Fantasy,Horror",7.1,12100000.0,12000000.0,2010,24100000.0
Let Me In,74.0,Horror,5.1,12100000.0,12000000.0,2010,24100000.0
Mission: Impossible - Ghost Protocol,132.0,"Action,Adventure,Thriller",7.4,209400000.0,485300000.0,2011,694700000.0
Anchorman 2: The Legend Continues,119.0,Comedy,6.3,125200000.0,46300000.0,2013,171500000.0
Jane Eyre,120.0,"Drama,Romance",7.4,11200000.0,23500000.0,2011,34700000.0
Due Date,95.0,"Adventure,Comedy",6.5,100500000.0,111200000.0,2010,211700000.0
Hot Tub Time Machine,101.0,"Comedy,Sci-Fi",6.4,50300000.0,14300000.0,2010,64600000.0
That's My Boy,116.0,Comedy,5.6,36900000.0,20800000.0,2012,57700000.0
21 Jump Street,109.0,"Action,Comedy,Crime",7.2,138400000.0,63100000.0,2012,201500000.0
